Game,Platform,Genre,Publisher,Year,Global_Sales_M,Critic_Score,User_Score,ESRB_Rating,Dev_Team_Size,Budget_MUSD,Region,Franchise,Metascore_Bucket
Bridge Odyssey,PS2,Role-Playing,Neon Interactive,2007,0.7,53,5.3,RP,47,21.2,NA,True,Low
Variety Tales 5,Wii,Party,Neon Works,2006,1.08,77,8.1,M,11,3.1,JP,False,Mid
Alien Command,SNES,Strategy,Cyber Studios,1998,0.52,82,7.3,T,16,12.8,EU,False,High
Think Tales,PS5,Puzzle,Legendary Entertainment,2020,0.17,98,9.1,E,18,6.3,Other,False,Top
Gate Legends 5,WiiU,Role-Playing,Cosmic Labs,2012,0.38,81,8.5,E,24,5.8,NA,False,High
Bat Attack,PS5,Strategy,Storm Games,2020,0.97,76,7.0,M,20,8.8,Other,False,Mid
Mega Leap,PC,Platform,Purple Designs,2010,0.32,86,8.6,T,37,9.8,JP,False,High
Shot Tales,XSX,Shooter,Purple Studios,2020,0.16,89,9.1,E10+,68,102.3,JP,False,High
Scorpion Ring,PS2,Fighting,Mystic Labs,2008,0.02,72,7.7,M,14,7.4,JP,False,Mid
Warrior Chronicles,WiiU,Action,Green Systems,2012,1.71,62,5.4,M,28,6.5,JP,True,Low
World Tales,PS2,Role-Playing,Crystal Designs,2000,0.21,87,8.9,M,30,18.3,NA,False,High
Speed Legends 5,PS5,Racing,Lightning Systems,2020,1.86,87,9.2,E,45,36.8,JP,True,High
Fighter Tales,Wii,Action,Golden Entertainment,2006,1.94,72,6.4,M,9,5.1,NA,False,Mid
Think Saga,PS4,Puzzle,Cosmic Labs,2017,0.11,77,7.4,E10+,27,22.3,Other,False,Mid
Retro Stories,PS5,Indie,Neon Systems,2020,0.13,83,8.2,E10+,39,41.4,NA,True,High
Pixel Legends 5,PS5,Indie,Lightning Games,2020,0.33,65,6.7,E10+,10,6.4,EU,False,Mid
Mystery Legends,PC,Puzzle,Red Entertainment,2013,0.07,75,7.4,E,21,5.0,Other,False,Mid
Battle Saga,Wii,Action,Purple Works,2013,0.02,63,6.5,E10+,34,29.8,Other,True,Low
Mind Chronicles,NES,Puzzle,Epic Systems,1994,0.29,84,9.2,E10+,5,1.2,NA,False,High
Cup Adventure,PS4,Sports,Epic Systems,2013,0.1,60,6.0,M,44,44.0,NA,True,Low
Weapon Saga,PS5,Shooter,Cosmic Labs,2020,1.1,63,6.0,M,60,74.5,JP,True,Low
Mix Saga 4,PC,Party,Stellar Systems,2013,0.05,62,6.9,M,37,9.0,JP,True,Low
League Stories,PS5,Sports,Thunder Games,2020,0.47,77,7.6,T,32,26.7,Other,False,Mid
Riddle Epic,PS5,Puzzle,Neon Systems,2020,0.01,87,8.8,E,11,8.9,JP,False,High
Warrior Chronicles,PS4,Action,Storm Games,2020,0.1,67,5.9,E,57,23.4,JP,False,Mid
Hamster Adventure,Wii,Adventure,Purple Works,2013,0.09,81,8.3,T,17,5.1,NA,True,High
Jump Odyssey: Return,Switch,Platform,Golden Entertainment,2017,0.07,65,6.6,E,12,5.9,JP,True,Mid
Strategy Stories,PC,Strategy,Crystal Games,2006,0.1,67,6.8,M,28,5.0,EU,False,Mid
Attack Stories 5,PC,Strategy,Neon Designs,2015,0.01,66,6.6,E,28,4.8,NA,True,Mid
School Adventure,PS4,Indie,Legendary Entertainment,2020,0.22,67,5.8,M,34,15.4,NA,True,Mid
